title,artist,songid,streams,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
telepatía,Kali Uchis,6tDDoYIxWvMLTdKpjFkc1B,900865,global,0.653,0.524,11.0,-9.016,0.0,0.0502,0.112,0.0,0.203,0.553,83.97,160191.0,4.0
Loco,"Justin Quiles, Chimbala, Zion & Lennox",6b2HYgqcK9mvktt4GxAu72,899706,global,0.771,0.885,8.0,-3.66,1.0,0.0508,0.222,0.0,0.0918,0.826,128.031,231604.0,4.0
Heather,Conan Gray,4xqrdfXkTW4T0RauPLv3WA,894576,global,0.357,0.425,5.0,-7.301,1.0,0.0333,0.584,0.0,0.322,0.27,102.078,198040.0,3.0
Arcade,Duncan Laurence,1J14CdDAvBTE1AJYUOwl6C,894048,global,0.453,0.35,9.0,-11.639,0.0,0.0425,0.827,0.00122,0.144,0.279,72.017,185147.0,3.0
A-O-K,Tai Verdes,1sx0XsWUusUoPstbvokZjP,888595,global,0.731,0.626,11.0,-6.919,1.0,0.0805,0.125,0.0,0.183,0.862,82.488,173640.0,4.0
Daddy Issues,The Neighbourhood,5E30LdtzQTGqRvNd7l6kG5,883988,global,0.588,0.521,10.0,-9.461,1.0,0.0329,0.0678,0.149,0.123,0.337,85.012,260173.0,4.0
Smells Like Teen Spirit,Nirvana,1f3yAtsJtY87CTmM8RLnxf,866909,global,0.502,0.912,1.0,-4.556,1.0,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,301920.0,4.0
She Knows (feat. Amber Coffman & Cults),J. Cole,0Fs9cdPDhptWEDJmiCbkEW,862482,global,0.766,0.74,1.0,-10.363,1.0,0.0807,0.0193,0.0784,0.229,0.183,118.008,296520.0,4.0
Moon,Kanye West,7CC6UbCs4iGsePSzFxYxNn,859832,global,0.319,0.236,5.0,-9.644,1.0,0.0318,0.898,1.62e-05,0.272,0.254,162.351,156091.0,4.0
You Right,"Doja Cat, The Weeknd",0k4d5YPDr1r7FX77VdqWez,858719,global,0.828,0.621,8.0,-6.414,1.0,0.0565,0.0164,0.00233,0.0845,0.436,128.986,186173.0,4.0
Levitating,Dua Lipa,39LLxExYz6ewLAcYrzQQyP,858181,global,0.695,0.884,6.0,-2.278,0.0,0.0753,0.0561,0.0,0.213,0.914,103.014,203808.0,4.0
